cliente,nombre,Descripcion,Logo,small_logo,color,telefono,correo,descripcion_adicional
" SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO, S.A. DE C.V.","SERVICIOS Y SOLUCIONES UNIVERSALES, S.A. DE C.V.",,,,,,,
" SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO, S.A. DE C.V.","SERVICIOS TECNICOS INDUSTRIALES INTERNACIONALES, S.A. DE C.V.",,,,,,,
" SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO, S.A. DE C.V.","CASA DIAZ QUIMICOS, S.A. DE C.V.",,,,,,,
" SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO, S.A. DE C.V.","JP INNOVACION TECNOLOGICA, S.A. DE C.V.",,,,,,,
" SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO, S.A. DE C.V.","LUDA PROVEEDURIA Y SERVICIOS, S.A. DE C.V.",,,,,,,
" SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO, S.A. DE C.V.",INSTITUTO NACIONAL DE ELECTRICIDAD Y ENERGIAS LIMPIAS,,,,,,,
" SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO, S.A. DE C.V.","ELEKTRO ENNERGY, S.A. DE C.V.",,,,,,,
" SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO, S.A. DE C.V.",ALEJANDRO RODRIGUEZ REYES,,,,,,,
" SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO, S.A. DE C.V.","GLOBAL GROUP KASSTEN, S.A.",,,,,,,
" SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO, S.A. DE C.V.","CONSTRUCTORA Y PROVEEDORA OAXACA,S.A. DE C.V.",,,,,,,
" SERVICIOS DE TRANSPORTACIÓN ACEITE Y GAS, S.A. DE C.V.","EMERSON PROCESS MANAGEMENT, S.A. DE C.V.",,,,,,,
" SERVICIOS DE TRANSPORTACIÓN ACEITE Y GAS, S.A. DE C.V.","CONSTRUCTORA AZTECA DEL SURESTE, S.A. DE C.V.",,,,,,,
" SERVICIOS DE TRANSPORTACIÓN ACEITE Y GAS, S.A. DE C.V.","E2 SISTEMAS DE GESTION, S.C.",,,,,,,
" SERVICIOS DE TRANSPORTACIÓN ACEITE Y GAS, S.A. DE C.V.","TURBO-MEX REFACCIONES, MANTENIMIENTOS Y SEGURIDAD INDUSTRIAL, S.A. DE C.V.",,,,,,,
" SERVICIOS DE TRANSPORTACIÓN ACEITE Y GAS, S.A. DE C.V.","ELEKTRO ENNERGY, S.A. DE C.V.",,,,,,,
" SERVICIOS DE TRANSPORTACIÓN ACEITE Y GAS, S.A. DE C.V.","PETROSMART INNOVATION, S.A. DE C.V.",,,,,,,
" SERVICIOS DE TRANSPORTACIÓN ACEITE Y GAS, S.A. DE C.V.","CONSTRUCTORA Y PROVEEDORA OAXACA,S.A. DE C.V.",,,,,,,
" SERVICIOS DE TRANSPORTACIÓN ACEITE Y GAS, S.A. DE C.V.","TECPESA MEXICO, S.A.",,,,,,,
"  SERVICIOS DE PROCESAMIENTO ACEITE Y GAS, S.A. DE C.V.","CONSTRUCTORA AZTECA DEL SURESTE, S.A. DE C.V.",,,,,,,
"  SERVICIOS DE PROCESAMIENTO ACEITE Y GAS, S.A. DE C.V.","E2 SISTEMAS DE GESTION, S.C.",,,,,,,
"  SERVICIOS DE PROCESAMIENTO ACEITE Y GAS, S.A. DE C.V.","CONSTRUCTORA Y PROVEEDORA OAXACA, S.A. DE C.V.",,,,,,,
