cliente,nombre,Descripcion,Logo,small_logo,color,telefono,correo,descripcion_adicional
"COTEMAR, S.A. DE C.V.","SERVICIOS Y DISTRIBUCION OPI, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","ARPO SINERGIA TECNOLOGICA, S. DE  R.L. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","PROVEEDORA Y CONSTRUCTORA MEXICANA, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.",GUSTAVO MAURILIO CHAVOLLA NAVA,,,,,,,
"COTEMAR, S.A. DE C.V.","MATCH CORPORATE GROUP, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","TECH ENERGY CONTROL, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.",GREGORIO SUAREZ CRUZ,,,,,,,
"COTEMAR, S.A. DE C.V.",LUIS ALBERTO CILIA SALIGAN,,,,,,,
"COTEMAR, S.A. DE C.V.","SSIGA, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.",LANDY VANESSA DEL SOCORRO HERRERA DOMINGUEZ,,,,,,,
"COTEMAR, S.A. DE C.V.","TURBO-MEX REFACCIONES, MANTENIMIENTOS Y SEGURIDAD INDUSTRIAL, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","TECHNOAIR SOLUTIONS, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.",PATRICIA FRANCO DIAZ,,,,,,,
"COTEMAR, S.A. DE C.V.","GESTIÓN INTEGRAL EN RIESGOS EN DEFENSA CIVIL, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","SERVICIOS ESTRATEGICOS MANF, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","BUREAU VERITAS MEXICANA, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","TLSAT 18N 91W, S. DE R.L. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","SUMERGE EMERGE, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.",GERMAN SOTO JIMENEZ,,,,,,,
"COTEMAR, S.A. DE C.V.","INSTRUMENTACION, ELECTROMECANICA Y PERIFERICOS, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","CORROSIÓN Y PROTECCIÓN INGENIERIA, S.C.",,,,,,,
"COTEMAR, S.A. DE C.V.","SYACTEC OIL&GAS, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","DAJOPETROL, S. DE R.L. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","SAMAHE, CONSULTORIA EN PREVENCION DE RIESGOS, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","ASESORÍA E INSPECCIÓN EN CONSTRUCCIÓN COSTA FUERA, S.C.",,,,,,,
"COTEMAR, S.A. DE C.V.","A3E INGENIEROS ESPECIALISTAS EN ENERGIA ELECTRICA, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","REPRESENTACIONES Y PRODUCCIONES DEL SURESTE, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","AQUA CARE WATER SOLUTION, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","COMPAÑIA CONSTRUCTORA ISLAS TELLO, S.A. DE C.V.",,,,,,,
